Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,947.250000,956.450012,944.250000,947.099976,947.099976,1870669
2020-12-29,948.000000,968.250000,943.849976,965.650024,965.650024,4392641
2020-12-30,970.000000,985.000000,967.799988,983.250000,983.250000,6389605
2020-12-31,981.950012,986.400024,968.700012,973.200012,973.200012,2859399
2021-01-01,976.000000,981.200012,971.200012,977.950012,977.950012,1268291
2021-01-04,980.599976,1005.000000,975.000000,1001.950012,1001.950012,3515825
2021-01-05,1002.500000,1007.950012,991.299988,1003.849976,1003.849976,4040321
2021-01-06,1004.000000,1026.000000,983.349976,997.150024,997.150024,4677359
2021-01-07,1005.500000,1010.000000,988.599976,994.750000,994.750000,3354950
2021-01-08,1007.750000,1060.000000,1005.450012,1051.099976,1051.099976,9279370
2021-01-11,1062.099976,1081.550049,1040.500000,1077.599976,1077.599976,6488791
2021-01-12,1077.599976,1077.650024,1053.000000,1064.199951,1064.199951,4257926
2021-01-13,1074.000000,1078.750000,1050.050049,1069.650024,1069.650024,4671772
2021-01-14,1064.000000,1064.000000,1030.000000,1052.599976,1052.599976,4765344
2021-01-15,1049.500000,1062.800049,1002.650024,1007.299988,1007.299988,6063896
2021-01-18,998.000000,1013.799988,991.950012,998.250000,998.250000,4659705
2021-01-19,1006.599976,1008.450012,987.200012,992.500000,992.500000,4416027
2021-01-20,997.000000,1023.400024,997.000000,1019.450012,1019.450012,4687853
2021-01-21,1026.000000,1033.349976,994.500000,1004.700012,1004.700012,3911527
2021-01-22,1004.700012,1005.000000,975.000000,980.849976,980.849976,3922421
2021-01-25,985.849976,997.900024,962.200012,972.049988,972.049988,2751784
2021-01-27,978.000000,1004.900024,973.650024,997.099976,997.099976,6975618
2021-01-28,990.000000,990.000000,965.000000,981.599976,981.599976,4274190
2021-01-29,990.099976,995.900024,956.000000,961.400024,961.400024,4425911
2021-02-01,961.900024,961.900024,921.150024,941.750000,941.750000,6321189
2021-02-02,955.000000,972.900024,937.500000,957.200012,957.200012,4971530
2021-02-03,965.000000,1000.000000,960.099976,981.450012,981.450012,5640121
2021-02-04,987.950012,988.000000,964.299988,969.200012,969.200012,4232910
2021-02-05,972.349976,980.849976,950.049988,959.400024,959.400024,3077720
2021-02-08,969.799988,993.000000,960.549988,982.549988,982.549988,3713579
2021-02-09,978.599976,999.799988,967.250000,975.099976,975.099976,3086774
2021-02-10,975.500000,980.250000,957.599976,974.900024,974.900024,2776301
2021-02-11,975.000000,988.650024,972.849976,985.599976,985.599976,2070435
2021-02-12,990.000000,1009.000000,986.250000,991.200012,991.200012,5863879
2021-02-15,996.000000,996.000000,977.500000,979.200012,979.200012,2487825
2021-02-16,990.000000,1000.000000,973.500000,986.799988,986.799988,3912433
2021-02-17,989.000000,996.599976,971.400024,980.450012,980.450012,2227724
2021-02-18,982.000000,1015.500000,981.500000,1010.599976,1010.599976,6742595
2021-02-19,1013.650024,1019.200012,972.650024,993.950012,993.950012,4357699
2021-02-22,998.950012,1011.000000,941.900024,950.700012,950.700012,5946290
2021-02-23,952.000000,962.750000,931.000000,945.750000,945.750000,4120032
2021-02-24,950.000000,963.900024,936.650024,960.049988,960.049988,1686531
2021-02-25,964.000000,969.000000,952.250000,957.799988,957.799988,3682791
2021-02-26,945.000000,948.849976,915.000000,918.849976,918.849976,5254937
2021-03-01,935.450012,957.000000,926.349976,936.000000,936.000000,3429569
2021-03-02,944.500000,971.000000,942.000000,967.099976,967.099976,3703190
2021-03-03,972.200012,980.200012,961.450012,976.000000,976.000000,3203532
2021-03-04,960.000000,994.700012,955.599976,968.049988,968.049988,5134954
2021-03-05,965.200012,980.900024,957.000000,959.700012,959.700012,2618145
2021-03-08,963.000000,980.000000,962.000000,968.500000,968.500000,2880739
2021-03-09,973.000000,998.500000,961.549988,988.150024,988.150024,2814747
2021-03-10,1002.000000,1016.799988,993.000000,1008.750000,1008.750000,5268496
2021-03-12,1000.000000,1024.599976,996.150024,1003.250000,1003.250000,4674919
2021-03-15,1005.000000,1029.949951,1002.000000,1026.650024,1026.650024,5203101
2021-03-16,1032.000000,1045.000000,1021.099976,1026.550049,1026.550049,4797715
2021-03-17,1024.000000,1043.199951,1015.599976,1020.049988,1020.049988,3477295
2021-03-18,1034.000000,1035.000000,978.599976,996.200012,996.200012,3738712
2021-03-19,992.000000,1000.750000,975.150024,989.450012,989.450012,6208000
2021-03-22,989.900024,1017.400024,978.299988,1013.549988,1013.549988,3873143
2021-03-23,1013.549988,1021.500000,1000.549988,1013.849976,1013.849976,3782337
2021-03-24,1003.750000,1013.349976,987.250000,992.150024,992.150024,2749823
2021-03-25,992.700012,996.900024,964.099976,968.700012,968.700012,3654840
2021-03-26,977.900024,997.799988,977.000000,991.000000,991.000000,2761824
2021-03-30,991.500000,1019.799988,991.500000,1016.900024,1016.900024,4300037
2021-03-31,1023.000000,1023.000000,989.200012,991.450012,991.450012,3780505
2021-04-01,1000.000000,1007.799988,986.000000,992.150024,992.150024,3555291
2021-04-05,992.000000,1007.200012,978.200012,997.700012,997.700012,5118272
2021-04-06,1006.000000,1008.000000,988.549988,991.349976,991.349976,2395572
2021-04-07,992.000000,1005.650024,982.099976,1002.400024,1002.400024,2974419
2021-04-08,1008.000000,1049.849976,1005.000000,1029.000000,1029.000000,6737118
2021-04-09,1028.949951,1056.800049,1016.549988,1053.000000,1053.000000,6029994
2021-04-12,1051.000000,1059.050049,1016.799988,1039.849976,1039.849976,7896295
2021-04-13,1045.000000,1050.250000,983.000000,1001.849976,1001.849976,6448995
2021-04-15,1001.849976,1007.799988,970.299988,993.150024,993.150024,4373215
2021-04-16,998.000000,1013.500000,996.000000,1010.299988,1010.299988,2659826
